Date,Dividends,Ticker
2006-11-01 00:00:00-05:00,1.471388,A
2012-03-30 00:00:00-04:00,0.071531,A
2012-06-29 00:00:00-04:00,0.071531,A
2012-09-28 00:00:00-04:00,0.071531,A
2012-12-27 00:00:00-05:00,0.071531,A
2013-03-28 00:00:00-04:00,0.085837,A
2013-06-28 00:00:00-04:00,0.085837,A
2013-09-27 00:00:00-04:00,0.085837,A
2013-12-27 00:00:00-05:00,0.094421,A
2014-04-09 00:00:00-04:00,0.094421,A
2014-06-27 00:00:00-04:00,0.094421,A
2014-09-26 00:00:00-04:00,0.094421,A
2015-01-02 00:00:00-05:00,0.1,A
2015-03-27 00:00:00-04:00,0.1,A
2015-06-26 00:00:00-04:00,0.1,A
2015-09-25 00:00:00-04:00,0.1,A
2015-12-31 00:00:00-05:00,0.115,A
2016-04-01 00:00:00-04:00,0.115,A
2016-06-30 00:00:00-04:00,0.115,A
2016-09-30 00:00:00-04:00,0.115,A
2016-12-29 00:00:00-05:00,0.132,A
2017-03-31 00:00:00-04:00,0.132,A
2017-06-29 00:00:00-04:00,0.132,A
2017-10-02 00:00:00-04:00,0.132,A
2017-12-29 00:00:00-05:00,0.149,A
2018-04-02 00:00:00-04:00,0.149,A
2018-07-02 00:00:00-04:00,0.149,A
2018-10-01 00:00:00-04:00,0.149,A
2018-12-28 00:00:00-05:00,0.164,A
2019-04-01 00:00:00-04:00,0.164,A
2019-07-01 00:00:00-04:00,0.164,A
2019-09-30 00:00:00-04:00,0.164,A
2019-12-30 00:00:00-05:00,0.18,A
2020-03-30 00:00:00-04:00,0.18,A
2020-06-29 00:00:00-04:00,0.18,A
2020-10-05 00:00:00-04:00,0.18,A
2021-01-04 00:00:00-05:00,0.194,A
2021-04-05 00:00:00-04:00,0.194,A
2021-07-02 00:00:00-04:00,0.194,A
2021-10-04 00:00:00-04:00,0.194,A
2022-01-03 00:00:00-05:00,0.21,A
2022-04-04 00:00:00-04:00,0.21,A
2022-07-01 00:00:00-04:00,0.21,A
2022-10-03 00:00:00-04:00,0.21,A
2022-12-30 00:00:00-05:00,0.225,A
2023-04-03 00:00:00-04:00,0.225,A
2023-06-30 00:00:00-04:00,0.225,A
2023-10-02 00:00:00-04:00,0.225,A
2023-12-29 00:00:00-05:00,0.236,A
2024-04-01 00:00:00-04:00,0.236,A
2024-07-02 00:00:00-04:00,0.236,A
2024-10-01 00:00:00-04:00,0.236,A
2024-12-31 00:00:00-05:00,0.248,A
2025-04-01 00:00:00-04:00,0.248,A
2025-07-01 00:00:00-04:00,0.248,A
2025-09-30 00:00:00-04:00,0.248,A
1987-05-11 00:00:00-04:00,0.000536,AAPL
1987-08-10 00:00:00-04:00,0.000536,AAPL
1987-11-17 00:00:00-05:00,0.000714,AAPL
1988-02-12 00:00:00-05:00,0.000714,AAPL
1988-05-16 00:00:00-04:00,0.000714,AAPL
1988-08-15 00:00:00-04:00,0.000714,AAPL
1988-11-21 00:00:00-05:00,0.000893,AAPL
1989-02-17 00:00:00-05:00,0.000893,AAPL
1989-05-22 00:00:00-04:00,0.000893,AAPL
1989-08-21 00:00:00-04:00,0.000893,AAPL
1989-11-17 00:00:00-05:00,0.000982,AAPL
1990-02-16 00:00:00-05:00,0.000982,AAPL
1990-05-21 00:00:00-04:00,0.000982,AAPL
1990-08-20 00:00:00-04:00,0.000982,AAPL
1990-11-16 00:00:00-05:00,0.001071,AAPL
1991-02-15 00:00:00-05:00,0.001071,AAPL
1991-05-20 00:00:00-04:00,0.001071,AAPL
1991-08-19 00:00:00-04:00,0.001071,AAPL
1991-11-18 00:00:00-05:00,0.001071,AAPL
1992-02-14 00:00:00-05:00,0.001071,AAPL
1992-06-01 00:00:00-04:00,0.001071,AAPL
1992-08-17 00:00:00-04:00,0.001071,AAPL
1992-11-30 00:00:00-05:00,0.001071,AAPL
1993-02-12 00:00:00-05:00,0.001071,AAPL
1993-05-28 00:00:00-04:00,0.001071,AAPL
1993-08-16 00:00:00-04:00,0.001071,AAPL
